,selling_price,km_driven,fuel,seller_type,transmission,owner,car_model,Age
59,465000,70000,Diesel,Dealer,Manual,First Owner,Hyundai i20,9
60,160000,60000,Petrol,Individual,Manual,Second Owner,Maruti Alto,11
62,675000,90000,Diesel,Dealer,Manual,First Owner,Honda City,9
63,300000,80000,Petrol,Dealer,Manual,First Owner,Maruti Wagon,10
64,70000,80000,Diesel,Individual,Manual,First Owner,Tata Indica,18
65,240000,73300,Petrol,Dealer,Manual,Second Owner,Hyundai EON,9
66,525000,92000,Diesel,Dealer,Manual,First Owner,Toyota Etios,9
67,151000,66764,Petrol,Dealer,Manual,Second Owner,Maruti Alto,14
68,140000,100000,Petrol,Individual,Manual,First Owner,Maruti Alto,14
71,570000,60000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,6
72,300000,31000,Petrol,Individual,Manual,First Owner,Hyundai EON,5
73,100000,39000,Diesel,Individual,Manual,First Owner,Tata Indigo,16
74,500000,120000,Diesel,Individual,Manual,Third Owner,Toyota Innova,14
75,125000,166000,Diesel,Individual,Manual,Fourth & Above Owner,Tata Indica,9
76,130000,110000,Petrol,Individual,Manual,Third Owner,Maruti Swift,17
77,925000,35000,Diesel,Individual,Manual,First Owner,Ford EcoSport,6
78,750000,60000,Diesel,Individual,Manual,First Owner,Maruti Ciaz,5
79,200000,54000,Petrol,Individual,Automatic,Second Owner,Honda Civic,16
80,248000,63000,Petrol,Individual,Manual,Second Owner,Hyundai i10,13
81,450000,120000,Diesel,Individual,Manual,Second Owner,Skoda Rapid,9
82,80000,120000,Petrol,Individual,Manual,Third Owner,Hyundai Getz,18
83,650000,76000,Petrol,Individual,Manual,Second Owner,Nissan Terrano,9
84,450000,80000,Diesel,Individual,Manual,First Owner,Hyundai Grand,8
85,650000,25000,Diesel,Individual,Manual,First Owner,Hyundai Elite,4
86,495000,11958,Petrol,Dealer,Manual,First Owner,Honda Amaze,7
87,371000,20000,Petrol,Dealer,Manual,First Owner,Honda Brio,8
88,1025000,9000,Petrol,Dealer,Manual,First Owner,Hyundai Creta,6
90,750000,70000,Diesel,Individual,Manual,First Owner,Mahindra XUV500,8
91,600000,120000,Diesel,Individual,Manual,First Owner,Renault Duster,10
92,80000,58000,Petrol,Dealer,Manual,Second Owner,Hyundai Santro,16
93,325000,62200,Diesel,Dealer,Manual,First Owner,Mahindra Bolero,10
95,350000,53000,Diesel,Individual,Manual,Second Owner,others,8
97,210000,15000,Petrol,Dealer,Manual,Second Owner,Datsun RediGO,6
98,450000,50000,Petrol,Individual,Manual,First Owner,Volkswagen Jetta,10
99,1150000,53000,Diesel,Dealer,Automatic,First Owner,others,10
100,210000,63500,Petrol,Dealer,Automatic,First Owner,Honda Civic,14
104,175000,29173,Petrol,Dealer,Manual,First Owner,Maruti SX4,15
106,628000,120000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,6
107,600000,100000,Diesel,Individual,Manual,First Owner,others,13
108,399000,30000,Petrol,Individual,Manual,First Owner,Nissan Micra,6
109,750000,87000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,5
110,750000,15000,Petrol,Individual,Manual,First Owner,Hyundai Elite,4
111,315000,16000,Petrol,Individual,Manual,First Owner,Renault KWID,6
112,600000,60000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,11
113,100000,60000,Petrol,Individual,Manual,Fourth & Above Owner,Maruti Wagon,13
114,250000,110000,Petrol,Individual,Manual,Third Owner,Maruti SX4,12
115,350000,25000,Petrol,Individual,Manual,First Owner,Renault KWID,6
116,780000,60000,Diesel,Individual,Manual,First Owner,Hyundai Creta,7
117,434000,79350,Diesel,Individual,Manual,Second Owner,Maruti Swift,9
118,690000,80000,Petrol,Individual,Automatic,First Owner,Hyundai Verna,7
119,555000,90000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,9
120,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti SX4,16
121,500000,120000,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,9
122,165000,60000,Diesel,Individual,Manual,Second Owner,Chevrolet Beat,10
123,95000,50000,Petrol,Individual,Manual,First Owner,Maruti Zen,19
124,550000,20000,Petrol,Individual,Manual,First Owner,Maruti Baleno,5
125,100000,110000,Diesel,Individual,Manual,Fourth & Above Owner,Maruti Swift,16
126,100000,50000,Petrol,Individual,Manual,Second Owner,Tata Nano,11
127,500000,100000,Diesel,Individual,Manual,First Owner,Toyota Innova,11
128,800000,70000,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,7
129,840000,70000,Diesel,Individual,Manual,Second Owner,Hyundai Creta,7
130,490000,50000,Petrol,Individual,Manual,First Owner,Honda Amaze,7
131,125000,81000,Diesel,Individual,Manual,Second Owner,Tata Indica,13
132,400000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet Tavera,11
133,1000000,3600,Diesel,Dealer,Manual,First Owner,Chevrolet Cruze,8
134,530000,14272,Petrol,Dealer,Manual,First Owner,Ford Figo,8
135,840000,49213,Diesel,Dealer,Manual,First Owner,Ford EcoSport,6
136,229999,40000,Petrol,Individual,Manual,First Owner,Hyundai i10,8
138,130000,80000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,11
139,200000,70000,Petrol,Individual,Manual,First Owner,Hyundai EON,8
140,120000,70000,Diesel,Individual,Manual,First Owner,Tata Indica,12
141,75000,57000,Petrol,Individual,Manual,First Owner,Hyundai Santro,20
142,250000,120000,Diesel,Individual,Manual,First Owner,others,7
143,100000,30000,Petrol,Individual,Manual,First Owner,Maruti 800,18
144,280000,3240,Petrol,Individual,Manual,Second Owner,Hyundai EON,10
145,540000,5000,Petrol,Individual,Manual,First Owner,Hyundai i20,8
146,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai i20,5
147,525000,100000,Diesel,Individual,Manual,First Owner,Maruti Ciaz,8
148,430000,80000,Diesel,Individual,Manual,First Owner,Hyundai i20,7
149,65000,70000,Petrol,Individual,Manual,First Owner,Hyundai Santro,21
150,800000,35000,Diesel,Individual,Manual,First Owner,Maruti Vitara,5
151,75000,114000,Petrol,Individual,Manual,Second Owner,Hyundai Santro,16
152,210000,53772,Petrol,Individual,Manual,First Owner,Hyundai Getz,15
153,195000,140000,Diesel,Individual,Manual,Second Owner,Mahindra Quanto,11
154,400000,120000,Diesel,Individual,Manual,First Owner,Chevrolet Tavera,8
155,170000,60000,Petrol,Individual,Manual,First Owner,Hyundai EON,11
156,225000,25000,Petrol,Individual,Manual,First Owner,Renault KWID,7
157,210000,90000,LPG,Individual,Manual,First Owner,Maruti Wagon,9
158,240000,120000,Petrol,Individual,Manual,First Owner,Maruti Wagon,3
160,99000,100000,Petrol,Individual,Manual,Third Owner,Chevrolet Spark,12
161,620000,36000,Petrol,Individual,Manual,First Owner,Honda City,9
162,500000,30000,Diesel,Individual,Manual,First Owner,Honda Amaze,10
164,260000,70000,Petrol,Individual,Manual,Second Owner,Honda Brio,10
165,550000,60000,Petrol,Individual,Manual,First Owner,Maruti Swift,6
166,150000,155500,Diesel,Individual,Manual,First Owner,Tata Indigo,12
167,350000,50000,Petrol,Individual,Automatic,Second Owner,Hyundai i10,12
168,320000,40000,Petrol,Individual,Manual,First Owner,Chevrolet Beat,7
169,400000,100000,Diesel,Individual,Manual,Third Owner,Maruti Swift,8
170,175000,80000,Petrol,Individual,Manual,Third Owner,Maruti Alto,11
171,120000,90000,Petrol,Individual,Manual,Second Owner,Chevrolet Beat,12
172,320000,90000,Diesel,Individual,Manual,Second Owner,Renault Duster,10
173,70000,110000,Petrol,Individual,Manual,Third Owner,Hyundai Santro,17
174,810000,15000,Petrol,Individual,Manual,First Owner,Maruti Swift,4
175,95000,100000,Petrol,Individual,Manual,Second Owner,Maruti 800,16
176,282000,40000,CNG,Individual,Manual,First Owner,Maruti Alto,3
177,80000,60000,Petrol,Individual,Manual,Second Owner,Maruti 800,19
178,72000,25000,Petrol,Individual,Manual,First Owner,Tata Nano,10
179,600000,25000,Petrol,Individual,Manual,First Owner,Hyundai i20,7
180,640000,23000,Petrol,Individual,Manual,First Owner,Skoda Rapid,8
181,380000,22155,Petrol,Individual,Manual,First Owner,Maruti Alto,5
182,650000,70000,Petrol,Individual,Manual,First Owner,Maruti Ciaz,5
183,150000,60000,Petrol,Individual,Manual,Second Owner,Maruti Alto,14
184,280000,110000,Petrol,Individual,Manual,Second Owner,Hyundai i20,14
185,430000,30000,Petrol,Individual,Manual,First Owner,others,5
186,800000,15000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,4
187,75000,100000,Diesel,Individual,Manual,Second Owner,Maruti Zen,20
188,650000,70000,Diesel,Individual,Automatic,First Owner,Volkswagen Vento,7
189,390000,24000,Petrol,Individual,Manual,First Owner,Maruti Eeco,6
190,100000,120000,Petrol,Individual,Manual,Second Owner,Honda City,18
192,175000,78380,Petrol,Individual,Manual,First Owner,Maruti SX4,16
193,434999,110000,Diesel,Individual,Manual,Second Owner,Renault Duster,11
194,170000,90000,Diesel,Individual,Manual,Third Owner,Ford Figo,13
195,190000,90000,Diesel,Individual,Manual,Third Owner,Ford Figo,12
196,250000,150000,Diesel,Individual,Manual,Third Owner,Maruti Swift,14
198,140000,70000,Petrol,Individual,Manual,Third Owner,Maruti Esteem,17
199,600000,80362,Diesel,Individual,Manual,First Owner,Maruti Swift,6
200,280000,110000,Petrol,Individual,Manual,Third Owner,Hyundai i20,11
201,150000,60000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,11
202,650000,50000,Diesel,Individual,Automatic,First Owner,Chevrolet Cruze,8
203,210000,40000,Petrol,Individual,Manual,Second Owner,Nissan Micra,9
205,425000,20000,Diesel,Dealer,Manual,First Owner,others,10
206,265000,55000,Petrol,Dealer,Manual,First Owner,Hyundai EON,9
207,890000,1136,Petrol,Dealer,Manual,First Owner,Fiat Linea,5
208,365000,55000,Petrol,Dealer,Manual,First Owner,others,10
209,350000,43000,Petrol,Dealer,Manual,First Owner,Ford Figo,9
210,685000,60000,Diesel,Individual,Manual,First Owner,Maruti Ciaz,7
211,940000,2650,Diesel,Dealer,Manual,First Owner,Skoda Rapid,5
212,1000000,40000,Diesel,Individual,Manual,First Owner,Mahindra XUV500,6
213,1150000,15000,Petrol,Dealer,Manual,First Owner,others,4
214,450000,115962,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,7
215,590000,65000,Diesel,Dealer,Manual,First Owner,Nissan Terrano,8
216,800000,40000,Diesel,Individual,Manual,First Owner,others,6
217,385000,58000,Diesel,Dealer,Manual,First Owner,Hyundai i20,11
219,235000,54000,Petrol,Dealer,Manual,First Owner,Hyundai EON,11
220,640000,56000,Diesel,Dealer,Manual,First Owner,others,6
221,52000,120000,Petrol,Individual,Manual,Third Owner,Maruti Alto,17
222,80000,90000,LPG,Individual,Manual,Second Owner,Maruti Omni,14
223,140000,70000,Petrol,Individual,Manual,Second Owner,Maruti Alto,11
224,120000,90000,Petrol,Individual,Manual,Second Owner,Hyundai Verna,15
226,180000,120000,Diesel,Individual,Manual,First Owner,others,11
228,700000,10000,Petrol,Individual,Manual,First Owner,Hyundai i20,6
229,285000,80000,Diesel,Individual,Manual,Second Owner,Maruti SX4,11
230,390000,90000,Petrol,Individual,Manual,First Owner,Hyundai Grand,8
231,125000,80000,Petrol,Individual,Manual,First Owner,Maruti Alto,15
232,225000,60000,Petrol,Individual,Manual,Second Owner,Maruti SX4,15
233,175000,139000,Petrol,Individual,Manual,Second Owner,Hyundai i10,12
234,1075000,160000,Diesel,Individual,Manual,Second Owner,Toyota Innova,12
235,300000,150000,Diesel,Individual,Manual,First Owner,Honda Mobilio,9
236,700000,163000,Diesel,Individual,Manual,Fourth & Above Owner,Toyota Innova,13
237,90000,120000,Diesel,Dealer,Manual,First Owner,Tata Indica,14
238,120000,120000,Diesel,Individual,Manual,Second Owner,Tata Indica,12
239,220000,100000,Diesel,Individual,Manual,Second Owner,Chevrolet Beat,11
240,300000,140000,Diesel,Dealer,Manual,First Owner,Tata Zest,8
241,180000,87000,Diesel,Dealer,Manual,Second Owner,others,13
242,170000,70000,Petrol,Individual,Manual,First Owner,Maruti 800,10
243,300000,50000,Petrol,Individual,Manual,Second Owner,Ford Figo,8
244,1050000,70000,Diesel,Individual,Manual,First Owner,Toyota Innova,9
246,465000,25000,Diesel,Individual,Manual,First Owner,Hyundai Grand,5
247,130000,80000,Diesel,Individual,Manual,Second Owner,Chevrolet Beat,12
248,434999,10000,Petrol,Individual,Manual,First Owner,Datsun GO,5
249,500000,32000,Petrol,Individual,Manual,First Owner,Hyundai Grand,5
250,200000,10000,Petrol,Individual,Manual,First Owner,Maruti Omni,5
251,625000,52000,Petrol,Dealer,Manual,First Owner,Maruti Baleno,6
252,110000,120000,Diesel,Individual,Manual,Third Owner,Ford Fiesta,17
253,800000,11240,Petrol,Individual,Manual,First Owner,Hyundai Elite,4
254,490000,66000,Diesel,Dealer,Manual,First Owner,Hyundai Grand,6
255,880000,64000,Diesel,Dealer,Manual,First Owner,Maruti Ertiga,6
256,290000,49000,Petrol,Individual,Manual,First Owner,Hyundai Santro,10
257,115999,100000,Diesel,Individual,Manual,Second Owner,Tata Sumo,17
258,360000,26500,Petrol,Individual,Manual,First Owner,Renault KWID,5
259,65000,100000,Petrol,Individual,Manual,Second Owner,Maruti 800,21
260,685000,72000,Diesel,Dealer,Manual,First Owner,Maruti Vitara,6
261,300000,50000,Petrol,Individual,Manual,First Owner,Honda Jazz,14
262,680000,44000,Diesel,Dealer,Manual,First Owner,Hyundai i20,6
263,1000000,60000,Diesel,Individual,Manual,Second Owner,Maruti Ertiga,6
264,100000,120000,Diesel,Individual,Manual,First Owner,Tata Sumo,21
265,160000,130000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,13
266,450000,70000,Diesel,Individual,Manual,First Owner,Maruti Swift,6
267,600000,20000,Petrol,Individual,Manual,First Owner,Maruti Ertiga,9
268,180000,60000,Diesel,Individual,Manual,Second Owner,Hyundai i20,14
270,120000,90000,Petrol,Individual,Manual,Second Owner,Maruti Alto,13
271,130000,80000,Petrol,Individual,Manual,Third Owner,Hyundai Getz,17
272,160000,155000,Petrol,Individual,Manual,First Owner,Maruti Wagon,12
273,860000,35000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,4
274,650000,20000,Petrol,Individual,Manual,Second Owner,Hyundai i20,5
275,100000,80000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,13
276,282000,20000,Petrol,Individual,Manual,First Owner,Maruti Alto,6
277,300000,50000,Petrol,Individual,Manual,First Owner,Hyundai i20,14
278,270000,110000,Petrol,Individual,Manual,Second Owner,Hyundai i20,13
279,550000,29000,Diesel,Individual,Manual,First Owner,Hyundai Verna,10
280,450000,120000,Diesel,Individual,Manual,First Owner,Mahindra Xylo,10
281,430000,70000,Diesel,Individual,Manual,Second Owner,Mahindra Bolero,12
282,350000,40000,Petrol,Individual,Manual,First Owner,Maruti Ertiga,10
283,350000,20000,Petrol,Individual,Manual,First Owner,Honda Brio,6
284,229999,50000,Petrol,Individual,Manual,Second Owner,Toyota Etios,10
285,110000,50000,Petrol,Individual,Manual,First Owner,Maruti Alto,10
286,395000,49000,Petrol,Individual,Manual,Second Owner,Maruti Swift,11
287,650000,70000,Diesel,Individual,Automatic,Second Owner,Mahindra Scorpio,12
288,350000,90000,Diesel,Individual,Manual,Second Owner,Mahindra Bolero,12
290,360000,4000,Petrol,Individual,Manual,First Owner,Tata Tiago,5
292,800000,15000,Diesel,Individual,Manual,First Owner,Renault Duster,8
293,229999,30000,Petrol,Individual,Manual,First Owner,Hyundai EON,5
294,315000,41000,Petrol,Dealer,Manual,First Owner,Maruti Wagon,9
295,125000,28000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,11
296,700000,16000,Petrol,Individual,Manual,First Owner,Maruti Baleno,4
297,160000,70000,Petrol,Individual,Manual,First Owner,Hyundai EON,8
298,530000,10832,Petrol,Dealer,Manual,First Owner,Ford Figo,6
299,624000,14681,Diesel,Dealer,Manual,First Owner,Ford Figo,5
300,250000,50000,Petrol,Individual,Manual,First Owner,Hyundai i10,14
301,585000,51000,Diesel,Dealer,Manual,First Owner,Mahindra Bolero,7
302,500000,25000,Petrol,Individual,Manual,First Owner,Hyundai Verna,8
303,350000,30000,Petrol,Individual,Manual,First Owner,Chevrolet Sail,9
304,495000,80000,Diesel,Dealer,Manual,First Owner,Honda City,9
305,500000,50000,Petrol,Individual,Manual,First Owner,Hyundai Grand,6
307,345000,44000,Petrol,Dealer,Manual,First Owner,Hyundai Grand,10
308,500000,10000,Petrol,Individual,Manual,First Owner,Maruti Baleno,8
309,425000,19600,Petrol,Individual,Manual,First Owner,Tata Tiago,4
310,80000,40000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,18
311,106000,50000,Diesel,Individual,Manual,First Owner,Chevrolet Beat,12
312,180000,46730,Petrol,Individual,Manual,First Owner,Maruti A-Star,14
313,250000,40000,Petrol,Individual,Manual,Second Owner,Datsun GO,8
314,350000,80000,Diesel,Individual,Manual,First Owner,others,12
315,60000,80000,Petrol,Individual,Manual,Second Owner,Maruti Zen,21
316,900000,24000,Diesel,Individual,Manual,First Owner,Hyundai Verna,5
317,700000,21170,Diesel,Dealer,Manual,First Owner,others,6
319,1000000,40000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,6
322,160000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet Tavera,16
323,525000,140000,Petrol,Individual,Automatic,First Owner,others,11
325,800000,30000,Diesel,Individual,Manual,First Owner,Maruti Baleno,4
326,700000,88635,Diesel,Dealer,Manual,First Owner,Ford Figo,6
327,800000,25000,Diesel,Individual,Manual,First Owner,Maruti Swift,5
328,575000,20000,Petrol,Individual,Manual,Second Owner,Hyundai i20,6
329,350000,110000,Diesel,Individual,Manual,Second Owner,Renault Duster,11
330,250000,120000,Diesel,Individual,Manual,Third Owner,Maruti Swift,15
331,600000,149674,Diesel,Dealer,Manual,Second Owner,Ford Endeavour,12
332,370000,100000,Diesel,Individual,Manual,Third Owner,Mahindra Scorpio,16
333,80000,120000,Petrol,Individual,Manual,Third Owner,Maruti Baleno,17
334,50000,120000,Diesel,Individual,Manual,Second Owner,Tata Indica,20
335,900000,25000,Diesel,Individual,Manual,First Owner,Hyundai Verna,5
336,300000,35000,Petrol,Individual,Manual,Second Owner,Maruti Wagon,9
337,125000,40000,Petrol,Individual,Manual,First Owner,Tata Indica,21
338,490000,60000,Diesel,Individual,Manual,Second Owner,Maruti Swift,8
339,300000,50000,Diesel,Individual,Manual,Second Owner,Toyota Etios,11
340,55000,25000,Petrol,Individual,Manual,Fourth & Above Owner,Tata Nano,10
341,350000,25000,Petrol,Individual,Manual,First Owner,Hyundai Grand,7
342,755000,8000,Diesel,Individual,Manual,First Owner,Hyundai Grand,4
343,720000,60000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,6
345,1100000,20000,Diesel,Individual,Manual,First Owner,Mahindra Scorpio,5
346,400000,100000,Petrol,Individual,Manual,First Owner,Volkswagen Polo,10
347,350000,70000,Diesel,Individual,Manual,Second Owner,Hyundai Xcent,8
348,159000,68000,Diesel,Dealer,Manual,First Owner,Chevrolet Beat,11
349,550000,38000,Petrol,Dealer,Manual,First Owner,Maruti Swift,6
350,335000,80000,Diesel,Dealer,Manual,First Owner,Maruti Ritz,10
351,185000,72000,CNG,Dealer,Manual,First Owner,Tata Indigo,9
352,229999,75000,CNG,Dealer,Manual,First Owner,Maruti Eeco,11
353,225000,43000,Petrol,Dealer,Manual,First Owner,others,9
354,250000,120000,Petrol,Individual,Manual,Second Owner,Maruti Swift,16
355,400000,100000,Diesel,Individual,Manual,First Owner,Tata Zest,8
356,470000,163000,Diesel,Individual,Manual,First Owner,Maruti Swift,9
357,300000,25000,Petrol,Individual,Automatic,First Owner,Maruti Alto,5
358,145000,25000,Petrol,Individual,Manual,First Owner,Maruti Alto,12
359,100000,90000,Petrol,Individual,Manual,Second Owner,Maruti SX4,16
360,500000,70000,Diesel,Individual,Manual,Second Owner,Mahindra Scorpio,9
361,130000,98000,CNG,Individual,Manual,Second Owner,Hyundai Santro,13
362,240000,81925,Diesel,Individual,Manual,First Owner,Chevrolet Cruze,13
363,150000,80000,Diesel,Individual,Manual,Second Owner,Ford Figo,10
364,270000,40000,Petrol,Individual,Manual,First Owner,Renault KWID,6
365,400000,90000,Diesel,Individual,Manual,First Owner,Maruti Swift,9
366,200000,46000,Petrol,Individual,Manual,First Owner,Hyundai EON,11
367,550000,80000,Diesel,Individual,Manual,First Owner,Mahindra XUV500,11
368,325000,35000,Petrol,Individual,Manual,First Owner,Renault KWID,5
369,860000,82080,Diesel,Individual,Automatic,First Owner,Skoda Rapid,6
371,125000,70000,Petrol,Individual,Manual,First Owner,Chevrolet Spark,14
373,300000,120000,Diesel,Individual,Manual,Third Owner,Chevrolet Tavera,13
374,190000,60000,Petrol,Individual,Manual,Third Owner,Ford Fiesta,16
375,400000,110000,Diesel,Individual,Manual,First Owner,Maruti Ertiga,10
376,260000,97000,Diesel,Individual,Manual,Second Owner,Tata Manza,12
377,400000,30000,Petrol,Individual,Manual,First Owner,Maruti Swift,6
378,250000,40000,Petrol,Individual,Manual,First Owner,Hyundai i20,13
379,600000,10000,Petrol,Individual,Manual,First Owner,Hyundai Grand,4
380,175000,52047,Petrol,Individual,Manual,First Owner,Maruti Zen,13
382,350000,15000,Petrol,Individual,Automatic,Second Owner,Tata Tiago,4
383,800000,50000,Diesel,Individual,Manual,First Owner,Maruti Vitara,5
384,250000,70000,Petrol,Individual,Manual,Second Owner,Maruti Swift,12
385,600000,10000,Petrol,Individual,Manual,First Owner,Maruti Swift,4
386,600000,90000,Diesel,Individual,Manual,First Owner,Maruti Swift,6
387,130000,40000,Petrol,Individual,Manual,First Owner,Maruti Alto,7
388,90000,62009,Petrol,Individual,Manual,Second Owner,Maruti Wagon,17
389,595000,33100,Petrol,Individual,Manual,Second Owner,Hyundai i20,6
390,190000,40000,Petrol,Individual,Manual,Second Owner,Hyundai EON,9
392,95000,80000,Petrol,Individual,Manual,First Owner,Maruti Wagon,16
393,1000000,70000,Diesel,Individual,Manual,First Owner,Tata Safari,7
395,400000,50000,Diesel,Individual,Manual,First Owner,Mahindra Bolero,13
396,315000,45000,Petrol,Individual,Manual,Second Owner,Datsun GO,8
397,1000000,110000,Diesel,Individual,Manual,First Owner,Toyota Fortuner,9
398,500000,49000,Diesel,Individual,Manual,First Owner,Ford Ecosport,9
400,500000,160000,Diesel,Individual,Manual,First Owner,others,6
402,105000,60000,Petrol,Individual,Manual,Second Owner,Maruti 800,16
403,400000,110000,Diesel,Individual,Manual,Third Owner,Ford Endeavour,15
404,80000,60000,Petrol,Individual,Manual,Third Owner,Maruti Wagon,19
405,300000,30000,Petrol,Individual,Manual,First Owner,Maruti Alto,7
406,409999,40000,Diesel,Individual,Manual,First Owner,Mahindra KUV,6
407,250000,70000,Petrol,Individual,Manual,First Owner,Maruti Swift,14
408,250000,120000,Diesel,Individual,Manual,Second Owner,Tata New,13
409,215000,80000,Diesel,Individual,Manual,Third Owner,Maruti Swift,11
411,475000,20000,Petrol,Individual,Manual,First Owner,Honda Brio,5
412,475000,22000,Petrol,Individual,Manual,First Owner,Honda Brio,5
413,75000,35000,Petrol,Individual,Manual,Second Owner,Chevrolet Spark,15
414,200000,120000,Diesel,Individual,Manual,Second Owner,Chevrolet Sail,10
415,575000,8000,Petrol,Individual,Manual,First Owner,Tata Tiago,4
416,150000,40000,Diesel,Individual,Manual,Second Owner,Maruti Ritz,12
417,850000,10000,Diesel,Individual,Manual,First Owner,Maruti Vitara,5
418,350000,30000,Petrol,Individual,Manual,First Owner,Hyundai Santro,4
419,550000,54000,Diesel,Individual,Manual,Second Owner,Ford Endeavour,12
420,330000,80577,Petrol,Individual,Manual,First Owner,Hyundai Verna,6
421,1044999,25000,Diesel,Individual,Manual,First Owner,Honda City,6
422,300000,127500,Diesel,Individual,Manual,Second Owner,Hyundai Verna,12
423,235000,40903,Petrol,Dealer,Manual,First Owner,Hyundai EON,8
424,120000,60000,Petrol,Individual,Manual,Third Owner,Ford Figo,12
425,130000,46000,Petrol,Individual,Manual,First Owner,Maruti Wagon,19
426,275000,22288,Diesel,Dealer,Manual,Second Owner,Ford Endeavour,19
428,500000,30000,Diesel,Individual,Manual,Second Owner,Volkswagen Polo,8
429,400000,61690,Petrol,Dealer,Manual,First Owner,Hyundai Grand,8
430,600000,64484,Petrol,Dealer,Manual,First Owner,Hyundai i20,8
432,400000,75976,Diesel,Dealer,Manual,Second Owner,Renault Duster,10
433,220000,70000,Diesel,Individual,Manual,Second Owner,Ford Figo,12
434,300000,85962,Petrol,Dealer,Manual,Second Owner,Honda Brio,11
435,250000,120000,Petrol,Individual,Manual,First Owner,Maruti Omni,5
436,600000,120000,Diesel,Individual,Manual,First Owner,Honda Mobilio,8
437,285000,75000,Petrol,Individual,Automatic,Second Owner,Honda Brio,11
438,350000,57035,Petrol,Dealer,Manual,First Owner,others,14
439,170000,70000,Diesel,Individual,Manual,Third Owner,Mahindra Bolero,12
